spec,lon,lat
SPEC,-77.883333,8.08333
SPEC,-77.5,8.5
SPEC,-82.448105,8.384921
SPEC,-79.328499,9.255074
SPEC,-80.126128,8.364829
SPEC,-81.728351,7.626208
SPEC,-80.170058,7.765561
SPEC,-82.145076,9.255492
SPEC,-80.61853,7.85813
SPEC,-74.0167,-9.85
SPEC,-81.2692,-4.5758
SPEC,-75.158333,-10.154167
SPEC,-80.201389,-4.658333
SPEC,-74.555556,-8.041667
SPEC,-73.7519,-10.7264
SPEC,-80.499916,-3.815612
SPEC,-72.924454,-3.268769
SPEC,-73.322926,-3.828972
SPEC,-72.515478,-3.473687
SPEC,-73.4225,-4.485833
SPEC,-80.6999,-4.905531
SPEC,-79.036803,-8.124841
SPEC,-66.113777,17.984133
SPEC,-65.622032,18.382467
SPEC,-66.110908,18.467281
SPEC,-67.185353,17.978627
SPEC,-67.166366,18.481885
SPEC,-55.367464,4.4927
SPEC,-55.162338,5.829003
SPEC,-88.06667,13.31667
SPEC,-88.50867,13.52466
SPEC,-89.403878,14.362276
SPEC,-89.81724,13.532452
SPEC,-89.246955,13.670572
SPEC,-61.688901,10.693317
SPEC,-61.025139,10.398167
SPEC,-60.786377,11.153263
SPEC,-61.133333,13.35
SPEC,-61.361391,12.6331
SPEC,-71.150002,11.016667
SPEC,-69.845581,7.556368
SPEC,-64.18328,10.481028
SPEC,-66.5,10.0833
SPEC,-68.900002,7.816667
SPEC,-62.339,6.8819
SPEC,-66.73333,3.5
SPEC,-67.59639,10.246944
SPEC,-66.1667,11.8
SPEC,-63.09167,9.54167
SPEC,-69.916702,11.9576
SPEC,-67.1167,6.65
SPEC,-70.253609,11.202778
SPEC,-66.101112,10.483889
SPEC,-63.5664,8.16667
SPEC,-62.294445,10.571111
SPEC,-70.65,9.51667
SPEC,-63.9,11.15
SPEC,-71.62262,10.579622
SPEC,-67.581882,8.56954
SPEC,-69.288483,10.077784
SPEC,-66,8
SPEC,-69.279785,7.48775
SPEC,-68.268311,10.927961
SPEC,-68.085022,8.933913
SPEC,-68.361946,7.238333
SPEC,-62.567739,7.671003
SPEC,-71.141142,8.602316
SPEC,-68.328644,10.38571
SPEC,-66.838463,10.494407
SPEC,-64.4,18.5
SPEC,-64.668646,17.759698
SPEC,-64.902612,18.325717
SPEC,-66.5981,18.4636
SPEC,-66.639036,17.986134
SPEC,-72.261623,11.399389
SPEC,-72.892,11.233
SPEC,-73.877,9.995
SPEC,121.11,22.8
SPEC,120.454,22.596
SPEC,120.3662,23.4022
SPEC,-179.794,-16.793
SPEC,-80.584357,25.691184
SPEC,-80.066357,25.649843
SPEC,-81.379236,28.538336
SPEC,-77.05844,26.54154
SPEC,-81.385069,25.858244
SPEC,-80.129127,26.140799
SPEC,-82.646456,27.750951
SPEC,-79.274623,25.553434
SPEC,-81.604168,26.711994
SPEC,-81.279202,24.65515
SPEC,-81.95723,27.92675
SPEC,-82.096732,26.989804
SPEC,-80.91843,26.75757
SPEC,-82.7455,28.2137
SPEC,-81.809422,24.546941
SPEC,-80.316553,27.413884
SPEC,-80.405411,25.126039
SPEC,-82.189972,26.518045
SPEC,-81.789025,26.168955
SPEC,-80.205483,26.68017
SPEC,-77.939527,25.816148
SPEC,100.96929,12.86231
SPEC,102.07593,14.850052
SPEC,99.74,15.42
SPEC,99.862282,13.811757
SPEC,-61.6287075,-11.74356604
SPEC,-56.85211167,-1.370855
SPEC,-38.54213,-3.72508
SPEC,-38.01388612,-12.58213667
SPEC,-45.7705252,-1.41766063
SPEC,-57.06883013,-2.796489695
SPEC,-49.68431246,-3.8369751
SPEC,-38.39972833,-12.862145
SPEC,-35.96832583,-8.246927457
SPEC,-35.10871567,-7.3985469
SPEC,-57.70724274,-3.405536591
SPEC,-61.96381196,-10.8745746
SPEC,-41.83860421,-2.763439186
SPEC,-40.7782191,-3.908852837
SPEC,-37.53002644,-4.643076816
SPEC,-37.25542189,-6.579216091
SPEC,-43.42475403,-3.243133012
SPEC,-50.57599504,-13.21661651
SPEC,-60.94351575,-2.620794319
SPEC,-36.15928084,-6.494909599
SPEC,-39.13899042,-3.347163055
SPEC,-48.50571059,-1.465539789
SPEC,-51.08435612,-0.010911897
SPEC,-52.51511554,-0.656310386
SPEC,-50.119447,-15.999512
SPEC,-63.94437666,-8.80822751
SPEC,-60.36579348,-3.140046095
SPEC,-47.83643,-15.836455
SPEC,-47.4433207,-7.0417739
SPEC,-35.2277312,-9.0279387
SPEC,-56.0904716,-15.6248489
SPEC,-72.89859446,-7.60271945
SPEC,-35.71619339,-6.969821052
SPEC,-60.65321484,2.838522494
SPEC,-52.35732701,-14.66395719
SPEC,-44.4044565,-2.3976254
SPEC,-59.8377651,-3.038775585
SPEC,-49.5189265,-11.8165893
SPEC,-39.22505848,-17.3340785
SPEC,-55.931335,-9.597507
SPEC,-57.54988111,-18.72750011
SPEC,-57.43652344,-17.65449123
SPEC,-39.66326606,-3.037202568
SPEC,-35.23454461,-5.62990834
SPEC,-69.94107012,-4.249537467
SPEC,-56.69520232,-17.33577246
SPEC,-40.51209919,-2.815541792
SPEC,-64.849548,-3.06441
SPEC,103.730318,1.380759
SPEC,124.199379,24.381022
